Target,Accessions
Secretory phospholipase A2 receptor,Q13018
Poly(U)-binding-splicing factor PUF60,Q9UHX1
Neuronal calcium sensor 1,P62166
RNA-binding protein 39,Q14498
Synaptic vesicle membrane protein VAT-1 homolog,Q99536
von Hippel-Lindau disease tumor suppressor/Polycomb protein SUZ12,Q15022|P40337
Leucine-rich repeat-containing G-protein coupled receptor 4,Q9BXB1
Protein cereblon/Tubulin beta,P68371|Q9H4B7|Q13509|P04350|Q3ZCM7|P07437|Q13885|Q9BVA1|Q9BUF5|Q96SW2|A6NNZ2
Protein cereblon/Tubulin beta-3 chain,Q13509|Q96SW2
Eukaryotic translation initiation factor 3 subunit E,P60228
Signal recognition particle 14 kDa protein,P37108
Actin-like protein 6A,O96019
Very-long-chain enoyl-CoA reductase,Q9NZ01
Splicing factor, proline- and glutamine-rich,P23246
Splicing factor U2AF 35 kDa subunit,Q01081
Monofunctional C1-tetrahydrofolate synthase, mitochondrial,Q6UB35
Protein transport protein Sec23A,Q15436
T-complex protein 1 subunit epsilon,P48643
Topoisomerase I/II,P11387|P11388
Threonine--tRNA ligase, mitochondrial,Q9BW92
Histone-lysine N-methyltransferase SETMAR,Q53H47
RNA-binding protein 3,P98179
Fanconi anemia group D2 protein,Q9BXW9
Activator of 90 kDa heat shock protein ATPase homolog 1,O95433
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1,P51178
Conserved oligomeric Golgi complex subunit 3,Q96JB2
Replication factor C subunit 3,P40938
Small ubiquitin-related modifier 2/3 (SUMO 2/3),P61956|P55854
Nuclear receptor corepressor 1,O75376
Protein Red,Q13123
ATPase family gene 2 protein homolog A,Q8NB90
Serine/threonine-protein kinase H1,P11801
BRCA1-associated protein,Q7Z569
Nck-associated protein 1-like,P55160
Non-POU domain-containing octamer-binding protein,Q15233
Rho guanine nucleotide exchange factor 12,Q9NZN5
Solute carrier family 25 member 3,Q00325
PHD finger protein 1,O43189
Lecithin retinol acyltransferase,O95237
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,P04844
von Hippel-Lindau disease tumor suppressor/Forkhead box protein P3,P40337|Q9BZS1
von Hippel-Lindau disease tumor suppressor/Casein kinase I isoform epsilon,P49674|P40337
Replication protein A 32 kDa subunit,P15927
Replication factor C subunit 5,P40937
Connector enhancer of kinase suppressor of ras 2,Q8WXI2
Constitutive coactivator of PPAR-gamma-like protein 1,Q9NZB2
Sulfotransferase 2B1,O00204
E3 ubiquitin-protein ligase RNF4,P78317
Gamma-tubulin complex component 3,Q96CW5
C-X-C motif chemokine 2,P19875
Lysosome-associated membrane glycoprotein 2,P13473
X-ray repair cross-complementing protein 6,P12956
Serine/arginine-rich splicing factor 2,Q01130
Serine/arginine-rich splicing factor 3,P84103
Serine/arginine-rich splicing factor 7,Q16629
ATP synthase F(1) complex subunit gamma, mitochondrial,P36542
T-complex protein 1 subunit beta,P78371
Valine--tRNA ligase,P26640
Transcriptional repressor p66-alpha,Q86YP4
Heterogeneous nuclear ribonucleoproteins A2/B1,P22626
Heterogeneous nuclear ribonucleoprotein K,P61978
AT-rich interactive domain-containing protein 4A,P29374
Lamin-B2,Q03252
von Hippel-Lindau disease tumor suppressor/CREB-binding protein,Q92793|P40337
Calcineurin subunit B type 1,P63098
Protein cereblon/Ubiquitin carboxyl-terminal hydrolase 7,Q93009|Q96SW2
6-pyruvoyl tetrahydrobiopterin synthase,Q03393
Exportin-5,Q9HAV4
von Hippel-Lindau disease tumor suppressor/Histone deacetylase 7,Q8WUI4|P40337
Nucleolar RNA helicase 2,Q9NR30
Putative RNA-binding protein Luc7-like 2,Q9Y383
AP-1 complex subunit mu-1,Q9BXS5
Heterogeneous nuclear ribonucleoprotein U-like protein 1,Q9BUJ2
Inosine triphosphate pyrophosphatase,Q9BY32
Alpha-actinin-4,O43707
Fibroblast growth factor 7,P21781
Protein disulfide-isomerase A2,Q13087
Integrin beta-4,P16144
Neuronal calcium sensor 1/Synembryn-A,P62166|Q9NPQ8
Calcyclin-binding protein,Q9HB71
Acidic leucine-rich nuclear phosphoprotein 32 family member A,P39687
PAK 1/CDC42,Q13153|P60953
Poly(rC)-binding protein 2,Q15366
Proteasome subunit alpha type-4,P25789
Serine palmitoyltransferase 3,Q9NUV7
Ubiquitin carboxyl-terminal hydrolase 22,Q9UPT9
Nuclear pore complex protein Nup93,Q8N1F7
ETS domain-containing protein Elk-3,P41970
Heat shock 70 kDa protein 4,P34932
Peptidyl-prolyl cis-trans isomerase-like 1,Q9Y3C6
Eukaryotic translation initiation factor 6,P56537
Translocon-associated protein subunit alpha,P43307
ATP-dependent RNA helicase DDX39A,O00148
BRD4/HDAC1,Q13547|O60885
5' exonuclease Apollo,Q9H816
Deubiquitinase OTUD6B,Q8N6M0
Mitochondrial inner membrane m-AAA protease component AFG3L2,Q9Y4W6
E3 ubiquitin-protein ligase ZFP91,Q96JP5
NmrA-like family domain-containing protein 1,Q9HBL8
Heterogeneous nuclear ribonucleoprotein A1,P09651
Cytoplasmic FMR1-interacting protein 1,Q7L576
G-protein coupled receptor 37-like 1,O60883
Heat shock protein HSP 90-alpha/Bromodomain-containing protein 4,P07900|O60885
Arylamine N-acetyltransferase 2,P11245
Ubiquitin-conjugating enzyme E2 L3,P68036
Aspartate aminotransferase, mitochondrial,P00505
Sulfotransferase 1A2,P50226
Telomerase Cajal body protein 1,Q9BUR4
2-oxoglutarate dehydrogenase complex component E1,Q02218
Programmed cell death 6-interacting protein,Q8WUM4
RNA-binding protein FUS,P35637
Neuronal acetylcholine receptor,P17787|P30926|P32297|P43681|Q15822|Q9UGM1|Q15825|P30532|P36544|Q9GZZ6|Q05901
Protein fem-1 homolog B/Bromodomain-containing protein 4,O60885|Q9UK73
Tropomyosin alpha-4 chain,P67936
Transcription factor E3,P19532
E3 ubiquitin-protein ligase RNF168,Q8IYW5
Pre-mRNA-processing factor 6,O94906
Mitochondrial carnitine/acylcarnitine carrier protein,O43772
Ataxin-10,Q9UBB4
AP-3 complex subunit beta-1,O00203
Lamin-B1,P20700
Splicing factor 3A subunit 3,Q12874
Structural maintenance of chromosomes protein 3,Q9UQE7
IGF-like family receptor 1,Q9H665
Mitotic checkpoint protein BUB3,O43684
Deoxyribonuclease gamma,Q13609
Protein transport protein Sec16A,O15027
Intersectin-1,Q15811
Ubiquitin carboxyl-terminal hydrolase 24,Q9UPU5
AMSH-like protease,Q96FJ0
Vesicle-trafficking protein SEC22b,O75396
AP-2 complex subunit alpha-1,O95782
Protein cereblon-alpha tubulin,P0DPH7|P68366|Q71U36|P68363|Q9BQE3|Q6PEY2|A6NHL2|Q9NY65|Q96SW2
Gamma-secretase-activating protein,A4D1B5
S-phase kinase-associated protein 2/Bifunctional ligase/repressor BirA,P06709|Q13309
Ribonuclease SLFN12,Q8IYM2
Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1,Q8WZA1
tRNA (guanosine(18)-2'-O)-methyltransferase TARBP1,Q13395
Deoxycytidylate deaminase,P32321
Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial,P50213
GDNF family receptor alpha-like,Q6UXV0
Integrin alpha-6,P23229
Protein cereblon/Histone deacetylase 7,Q8WUI4|Q96SW2
CCR4-NOT transcription complex subunit 2,Q9NZN8
CDC42BPA protein,B9EGA7
Stathmin,P16949
Nicastrin,Q92542
Trifunctional enzyme subunit beta, mitochondrial,P55084
Protein cereblon/SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4,P51532|Q96SW2
Adenylate cyclase type 9,O60503
Ubl carboxyl-terminal hydrolase 18,Q9UMW8
E3 ubiquitin-protein ligase Mdm2/CDK6,Q00987|Q00534
Eukaryotic translation initiation factor 4B,P23588
Baculoviral IAP repeat-containing protein 2/Cyclin-dependent kinase 6,Q00534|Q13490
ADP-ribosylation factor 5,P84085
Glutathione S-transferase A3,Q16772
Delta-1-pyrroline-5-carboxylate synthase,P54886
DNA replication licensing factor MCM7,P33993
G-protein coupled receptor 151,Q8TDV0
N-alpha-acetyltransferase 10,P41227
Trace amine-associated receptor 5,O14804
Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial,P36551
Nicotinic acetylcholine receptor alpha3/beta4/alpha5,P30926|P32297|P30532
Cationic amino acid transporter 3,Q8WY07
Small ribosomal subunit protein mS38,Q9NWT8
Acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase,Q6ZMB0
DNA repair protein RAD50,Q92878
Ras-related protein Ral-A,P11233
Neuroblast differentiation-associated protein AHNAK,Q09666
Zinc finger and BTB domain-containing protein 32,Q9Y2Y4
Rapamycin-insensitive companion of mTOR,Q6R327
Frizzled-9,O00144
Protein cereblon/Carbonic anhydrase 2,P00918|Q96SW2
Fanconi anemia group F protein/Transcription factor HES-1,Q9NPI8|Q14469
Dihydropyrimidinase-related protein 2,Q16555
Apoptosis-inducing factor 1, mitochondrial,O95831
Clathrin light chain A,P09496
Host cell factor 1,P51610
Protein cereblon/Bromodomain-containing protein 4/Bromodomain-containing protein 3/Bromodomain-containing protein 2,P25440|O60885|Q15059|Q96SW2
N-acetylgalactosamine-6-sulfatase,P34059
Ras-related C3 botulinum toxin substrate 3,P60763
S-formylglutathione hydrolase,P10768
NF-kappa-B-repressing factor,O15226
Flavin-containing monooxygenase 5,P49326
Protein lin-28 homolog B,Q6ZN17
Kinesin-like protein KIF6,Q6ZMV9
HLA-DRB2 protein,Q30155
Structural maintenance of chromosomes protein 4,Q9NTJ3
Phenylalanine-4-hydroxylase,P00439
Lamina-associated polypeptide 2, isoform alpha,P42166
Protein cereblon/NAD-dependent protein deacetylase sirtuin-1,Q96EB6|Q96SW2
Frizzled-8,Q9H461
ADP-ribosylation factor-like protein 1,P40616
Thioredoxin-related transmembrane protein 1,Q9H3N1
Transportin-1,Q92973
X-ray repair cross-complementing protein 5,P13010
Interferon gamma,P01579
eIF5-mimic protein 2,Q7L1Q6
T-complex protein 1 subunit delta,P50991
Surfeit locus protein 4,O15260
Proheparin-binding EGF-like growth factor,Q99075
Pre-mRNA-processing-splicing factor 8,Q6P2Q9
Cytochrome P450 7B1,O75881
Signal recognition particle subunit SRP72,O76094
Transformer-2 protein homolog beta,P62995
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,P46977
Ionotropic glutamate receptor kainate 2/5,Q16478|Q13002
Eukaryotic translation initiation factor 2A,Q9BY44
T-complex protein 1 subunit alpha,P17987
Histone H1.2,P16403
Kinesin-like protein KIF7,Q2M1P5
Dynein light chain 1, cytoplasmic,P63167
Coatomer subunit gamma-1,Q9Y678
Eukaryotic translation initiation factor 3 subunit I,Q13347
Apoptosis-associated speck-like protein containing a CARD,Q9ULZ3
Ubiquitin carboxyl-terminal hydrolase 3,Q9Y6I4
Large ribosomal subunit protein bL12m,P52815
Rho guanine nucleotide exchange factor 2,Q92974
Frizzled-10,Q9ULW2
von Hippel-Lindau disease tumor suppressor/Histone deacetylase 5,Q9UQL6|P40337
Protein cereblon/Hexokinase-2,P52789|Q96SW2
von Hippel-Lindau disease tumor suppressor/Estrogen receptor beta,Q92731|P40337
Gamma-aminobutyric acid receptor subunit alpha-2/beta-2,P47870|P47869
Vinculin,P18206
Cytochrome b5 type B,O43169
G-protein coupled receptor 143,P51810
Mannan-binding lectin serine protease 1,P48740
PCI domain-containing protein 2,Q5JVF3
Annexin A1,P04083
Glutaminase 1/2,O94925|Q9UI32
Integrin beta-7,P26010
Sodium-coupled neutral amino acid symporter 1,Q9H2H9
DnaJ homolog subfamily C member 10,Q8IXB1
Parathyroid hormone 2 receptor,P49190
Protein LSM12,Q3MHD2
Cell cycle and apoptosis regulator protein 2,Q8N163
Protein RCC2,Q9P258
von Hippel-Lindau disease tumor suppressor/Histone acetyltransferase p300,Q09472|P40337
Nuclear cap-binding protein subunit 1,Q09161
Pre-mRNA-processing factor 40 homolog A,O75400
Leucine-rich repeat flightless-interacting protein 1,Q32MZ4
Nucleoprotein TPR,P12270
Bromodomain-containing protein 4/DDB1- and CUL4-associated factor 15,O60885|Q66K64
Proteasome subunit alpha type-6,P60900
T-complex protein 1 subunit gamma,P49368
Annexin A7,P20073
Diacylglycerol kinase kappa,Q5KSL6
Nuclear pore complex protein Nup205,Q92621
Voltage-gated inwardly rectifying potassium channel KCNH6,Q9H252
OTU domain-containing protein 6A,Q7L8S5
Mitochondrial import inner membrane translocase subunit TIM50,Q3ZCQ8
von Hippel-Lindau disease tumor suppressor/Vitamin D3 receptor,P11473|P40337
Gamma-aminobutyric acid receptor subunit beta-2,P47870
Serum paraoxonase/lactonase 3,Q15166
10 kDa heat shock protein, mitochondrial,P61604
Urea transporter 1,Q13336
5-azacytidine-induced protein 2,Q9H6S1
Eukaryotic translation initiation factor 3 subunit A,Q14152
Eukaryotic translation initiation factor 3 subunit D,O15371
FACT complex subunit SSRP1,Q08945
Phosphoenolpyruvate carboxykinase [GTP], mitochondrial,Q16822
Src substrate cortactin,Q14247
Aquaporin-3,Q92482
Eukaryotic translation initiation factor 3 subunit L,Q9Y262
Cholecystokinin(CCK) A/B,P32239|P32238
Bromodomain and extra-terminal motif (BET),P25440|O60885|Q58F21|Q15059
Glucose-6-phosphate isomerase,P06744
Aminoacyl tRNA synthase complex-interacting multifunctional protein 1,Q12904
5'-nucleotidase domain-containing protein 1,Q5TFE4
E3 ubiquitin/ISG15 ligase TRIM25,Q14258
Ataxin-3-like protein,Q9H3M9
Spectrin beta chain, non-erythrocytic 1,Q01082
Interleukin-5,P05113
Growth hormone-releasing hormone receptor,Q02643
H/ACA ribonucleoprotein complex subunit DKC1,O60832
Exportin-2,P55060
Hepatoma-derived growth factor,P51858
Spectrin alpha chain, non-erythrocytic 1,Q13813
Importin-4,Q8TEX9
Perilipin-3,O60664
Protein lin-28 homolog A/B,Q6ZN17|Q9H9Z2
Ubiquitin carboxyl-terminal hydrolase 49,Q70CQ1
Small ribosomal subunit protein uS15,P62277
Small ribosomal subunit protein uS8,P62244
V-type proton ATPase subunit B, brain isoform,P21281
Prosaposin,P07602
Baculoviral IAP repeat-containing protein 2/Cyclin-dependent kinase 4,P11802|Q13490
ADP-ribosylation factor 1,P84077
Hepatocyte nuclear factor 4-gamma,Q14541
Ubiquitin carboxyl-terminal hydrolase 33,Q8TEY7
Small ribosomal subunit protein uS3,P23396
Josephin-2,Q8TAC2
Protein cereblon/Tyrosine-protein kinase Lck/DNA damage-binding protein 1,P06239|Q96SW2|Q16531
Integrin alpha-5/beta-8,P08648|P26012
Gamma-aminobutyric acid receptor subunit alpha-3/ beta-2,P47870|P34903
Matrin-3,P43243
Transcription elongation regulator 1,O14776
Enhancer of rudimentary homolog,P84090
Neuronal acetylcholine receptor subunit alpha-6/alpha-3,P32297|Q15825
CCR4-NOT transcription complex subunit 3,O75175
MSN-CD44,P16070|P26038
Melatonin-related receptor,Q13585
Cytoplasmic dynein 1 heavy chain 1,Q14204
U2 snRNP-associated SURP motif-containing protein,O15042
Protein cereblon/Receptor-interacting serine/threonine-protein kinase 2,O43353|Q96SW2
Proteasome activator complex subunit 3,P61289
Phenylalanine--tRNA ligase alpha subunit,Q9Y285
Sialic acid-binding Ig-like lectin 15,Q6ZMC9
Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1,Q9HAN9
Zinc finger protein 280D,Q6N043
Josephin-1,Q15040
Signal peptidase complex catalytic subunit SEC11A,P67812
E3 ubiquitin-protein ligase Mdm2/Cellular tumor antigen p53/Protein Mdm4,P04637|Q00987|O15151
Glycogen [starch] synthase, liver,P54840
Histone deacetylase complex subunit SAP130/Splicing factor 3B subunit 1/Splicing factor 3B subunit 2,Q13435|Q9H0E3|O75533
Lysosomal phospholipase A and acyltransferase,Q8NCC3
Programmed cell death 1 ligand 2,Q9BQ51
Phospholipid-transporting ATPase ABCA1,O95477
Alpha/beta hydrolase domain-containing protein 17B,Q5VST6
GRB10-interacting GYF protein 2,Q6Y7W6
Sodium bicarbonate cotransporter 3,Q9Y6M7
Ubiquitin-conjugating enzyme E2 C,O00762
Filamin-A,P21333
Platelet-derived growth factor subunit B,P01127
Eotaxin,P51671
Leptin receptor,P48357
Muscle-type nicotinic acetylcholine receptor,P02708|P07510|P11230|Q07001|Q04844
Ubiquitin carboxyl-terminal hydrolase 13,Q92995
Protein MON2 homolog,Q7Z3U7
POU domain, class 3, transcription factor 3,P20264
POU domain, class 3, transcription factor 2,P20265
von Hippel-Lindau disease tumor suppressor/Dual specificity tyrosine-phosphorylation-regulated kinase 1A,Q13627|P40337
von Hippel-Lindau disease tumor suppressor/Dual specificity tyrosine-phosphorylation-regulated kinase 1B,Q9Y463|P40337
Proto-oncogene serine/threonine-protein kinase mos,P00540
von Hippel-Lindau disease tumor suppressor/ALK tyrosine kinase receptor/Echinoderm microtubule-associated protein-like 4,Q9UM73|Q9HC35|P40337
von Hippel-Lindau disease tumor suppressor/Dual specificity protein kinase TTK,P33981|P40337
ALK1/2,P37023|Q04771
Vacuolar protein sorting-associated protein 4B,O75351
Cell cycle checkpoint protein RAD1,O60671
von Hippel-Lindau disease tumor suppressor/Cyclin-dependent kinase 12,P40337|Q9NYV4
SH2/SH3 adapter protein NCK1,P16333
YTH domain-containing family protein 1,Q9BYJ9
Kinesin-like protein KIF1A,Q12756
CCR4-NOT transcription complex subunit 9,Q92600
Emopamil-binding protein-like,Q9BY08
BRD8/BRD9,Q9H8M2|Q9H0E9
Ubiquitin-associated protein 2-like,Q14157
Conserved oligomeric Golgi complex subunit 8,Q96MW5
F-actin-capping protein subunit beta,P47756
DNA damage-binding protein 1,Q16531
Heterogeneous nuclear ribonucleoprotein Q,O60506
Tyrosine-protein kinase BTK/Tyrosine-protein kinase Lck,P06239|Q06187
Minor histocompatibility antigen H13,Q8TCT9
von Hippel-Lindau disease tumor suppressor/Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,P40337|P15170
Tubulin alpha-1C chain,Q9BQE3
Cytosolic carboxypeptidase 2,Q5U5Z8
Protein cereblon-TEAD,P28347|Q96SW2|Q15561|Q15562|Q99594
Chromobox protein homolog 3,Q13185
Myoglobin,P02144
BRD2/BRD9,P25440|Q9H8M2
Cyclin-A1/Cyclin-dependent kinase 4,P11802|P78396
Complement component 3a receptor 1, isoform CRA_a,A8K2H7
Mediator of RNA polymerase II transcription subunit 23,Q9ULK4
Conserved oligomeric Golgi complex subunit 1,Q8WTW3
Conserved oligomeric Golgi complex subunit 6,Q9Y2V7
Deoxyribose-phosphate aldolase,Q9Y315
F-actin-capping protein subunit alpha-1,P52907
MICOS complex subunit MIC19,Q9NX63
Na(+)/H(+) exchange regulatory cofactor NHE-RF2,Q15599
Serine/threonine-protein phosphatase PGAM5, mitochondrial,Q96HS1
P2Y receptor,Q9H244|P51582|P47900|P41231|Q15391|Q15077|Q96G91|Q9BPV8
Ras-related protein Rab-11A,P62491
Adenylosuccinate synthetase isozyme 2,P30520
Gamma-glutamyl hydrolase,Q92820
CTP synthase 2,Q9NRF8
von Hippel-Lindau disease tumor suppressor/Oxysterols receptor LXR-beta,P55055|P40337
Protein fem-1 homolog B/Histone deacetylase 1,Q13547|Q9UK73
Cyclin-dependent kinase 1/G1/S-specific cyclin-D1,P06493|P24385
Mitochondrial carrier homolog 2,Q9Y6C9
Peroxisomal sarcosine oxidase,Q9P0Z9
BTB/POZ domain-containing protein KCTD16,Q68DU8
Gamma-aminobutyric acid receptor subunit alpha-1/ beta-1,P14867|P18505
Anamorsin,Q6FI81
ATP-dependent 6-phosphofructokinase, liver type,P17858
N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 3,Q9Y2A9
Bcl-xL/BAX,Q07817|Q07812
BUB3-interacting and GLEBS motif-containing protein ZNF207,O43670
Alpha-N-acetylglucosaminidase,P54802
Peptidyl-prolyl cis-trans isomerase FKBP3,Q00688
Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,P49354
StAR-related lipid transfer protein 3,Q14849
Transcription factor E2F1,Q01094
Caveolin-1,Q03135
Axin-1,O15169
CDK10/Cyclin L2,Q15131|Q96S94
CDK11A/Cyclin L2,Q9UQ88|Q96S94
Cyclin-dependent kinase inhibitor 1B,P46527
B-cell receptor-associated protein 31,P51572
Tripeptidyl-peptidase 2,P29144
Probable JmjC domain-containing histone demethylation protein 2C,Q15652
Spindlin-3,Q5JUX0
Coatomer subunit beta,P53618
Serine/threonine-protein phosphatase 6 regulatory subunit 1,Q9UPN7
Ras-related protein Rab-7L1,O14966
